,CID,CanonicalSMILES,AKOS,phase,density.g.cm3,MW,csid
0,523090,C1=CC=C(C=C1)C(=O)OCCBr,5203196,L,1.445,229.073,456295
1,5312586,CCCCCCC=CC(=O)O,6230171,L,0.93,156.225,4472011
2,5281167,CCC=CCCO,15838970,L,0.8,100.161,29318706
3,5283345,CCCCCCCC=CC=O,15839092,L,0.8,154.253,4446466
4,2347,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,15839717,L,1.12,312.365,2257
5,12327,CCCCCCCCCCC(=O)OCC,15839824,L,0.9,214.349,11822
6,5280435,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,15841769,L,0.8,296.539,4518143
7,10850,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,15899778,L,0.954,470.691,10393
8,7793,CC(CCC=C(C)C)CCO,15902396,L,0.8,156.269,13850135
9,15612,COC(=O)CCCCCCCC(=O)OC,15913922,L,,216.277,14852
10,95579,CCCCCCC(C(=O)OC)Br,16009491,L,,237.137,86272
11,7211,CCCC(C(CC)CO)O,16051411,L,,146.23,21106534
12,11524,CC1CCC(CC1)O,17343697,L,0.92,114.188,11040
13,6971127,CC(CCC=C(C)C)O,17343754,L,,128.215,19533
14,69376,CCCCCCC(=O)OC(=O)CCCCCC,25396821,L,,242.359,62584
15,61386,CCCCCCCCCCCC(=O)OCCC(C)C,25402732,L,,270.457,55315
16,31283,CCCCCCCCCCCCCC(=O)OCC,15839783,L,,256.43,29023
17,6548,CCC(C)(CCCC(C)C)O,15841872,L,,158.285,6300
18,5365075,CCCCCCCCCCCCCC=CCCCCCCCC,24462408,L,,322.621,4904781
19,1392448,CC1=CC=CC(=C1)C2=CC(=CC=C2)C(=O)OC,2678385,L,,226.275,1162828
20,1392926,CC1=CC=CC(=C1)C2=CC=CC=C2C(=O)OC,4114763,L,1.1,226.275,1162959
21,2799640,CCOC(=O)C1=CC=CC=C1C(=O)C,5070770,L,,192.214,2078378
22,14663182,CC1=CC=CC(=C1C(=O)OC)C2=CC=CC=C2,26674461,L,,226.275,38236429
23,66747,C1=CC=C(C=C1)C(=O)OCCO,125630,L,,166.176,60113
24,20508,C1CCC(CC1)CCO,5207193,L,,128.215,19315
25,7714,CCCCCCCC1CCC(=O)O1,1076126,L,0.944,184.279,7428
26,95952,C1=CC=C(C=C1)C(=O)OCCCl,5198580,L,,184.619,86624
27,2750470,CC1CCC(C(=O)C1CO)C(C)C,4905651,L,,184.279,2031738
28,112051,CC(CCCC(=C)C)CCOC(=O)C1=CC=CC=C1,4905707,L,,260.377,100463
29,5705112,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2,4905721,L,,238.286,4644769
30,2750703,CC1CCC(C(C1=O)CO)C(C)C,4905948,L,,184.279,2031965
31,248872,CCCC(C(C)C(C)O)O,4909536,L,,146.23,217897
32,2755044,CCC#CC=CCO,4909686,L,,110.156,5006447
33,12366,CCCCCCCCCCCCCCCC(=O)OCC,4910397,L,,284.484,11860
34,84820218,CCCCCC(C=CC=CC=CC)O,24262879,L,,194.318,29786084
35,77134639,CC(CCC=C(C)CO)CCO,24263033,L,,172.268,57499184
36,12936866,CCCCCC=CC(C)C,24263048,L,,140.27,4517914
37,84820308,CCCCC(C=CC1COC(O1)(C)C)O,24263069,L,,214.305,29786091
38,17750637,CCOC(=O)CC1CCCCCCCCCCC1,24264069,L,,254.414,16499839
39,84820759,CCCC=CCCCC=CCCC,24264131,L,,180.335,57521722
40,5366264,CC(=C)C=CCC(C)(C=C)O,24264261,L,,152.237,4518161
41,86535,CCC(C1CCCCC1)O,9157140,L,,142.242,78047
42,89487,CC1=CC(CCC1)O,9158570,L,,112.172,80762
43,21428,CC1CCCC(C1O)C,21983365,L,,128.215,20139
44,122490,CCOC(=O)CCCCCCBr,15836154,L,,237.137,109212
45,264813,CCOC(=O)CCCCCCCBr,15836156,L,,251.164,232673
