"","AKOS.smile","CID","CanonicalSMILES","density.g.cm3","MW","AKOS","weight..g.","stored"
"317","OC(=O)CCCCCCC(=O)O",10457,"C(CCCC(=O)O)CCC(=O)O",,174.196,"000119018",,
"61","CC1CCC(C(C1)O)C(C)C",1254,"CC1CCC(C(C1)O)C(C)C",0.904,156.269,"000119740",,
"213","CCOC(=O)c1ccccc1C(=O)OCC",6781,"CCOC(=O)C1=CC=CC=C1C(=O)OCC",1.12,222.24,"000119867",,
"318","OC(=O)CCCCCCCCC(=O)O",5192,"C(CCCCC(=O)O)CCCC(=O)O",1.2,202.25,"000120056",,
"356","OC1CCC(CC1)C(C)(C)C",7391,"CC(C)(C)C1CCC(CC1)O",,156.269,"000120382",,
"310","O=C1OCc2c1cccc2",6885,"C1C2=CC=CC=C2C(=O)O1",,134.134,"000121167",,
"414","OCCOC(=O)c1ccccc1",66747,"C1=CC=C(C=C1)C(=O)OCCO",,166.176,"000125630",,
"73","CCC(C1CCC(CC1)O)(C)C",79302,"CCC(C)(C)C1CCC(CC1)O",,170.296,"000249586",,
"309","O=C1OCc2c(c3c1cccc3)cccc2",4613402,"C1C2=CC=CC=C2C3=CC=CC=C3C(=O)O1",,210.232,"000276674",,
"150","CCCCCCCCCCC(=O)O",8180,"CCCCCCCCCCC(=O)O",0.891,186.295,"000276906",,
"384","OCC1(C)CCCCC1",1501840,"CC1(CCCCC1)CO",,128.215,"000282608",,
"256","COC(=O)c1ccc(cc1)F",67878,"COC(=O)C1=CC=C(C=C1)F",,154.14,"000295905",,
"306","O=C1O/C(=C\c2ccccc2)/c2c1cccc2",642371,"C1=CC=C(C=C1)C=C2C3=CC=CC=C3C(=O)O2",,222.243,"000567737",,
"386","OCC12CC3CC(C2)(CC(C1)(C3)C)C",4050097,"CC12CC3CC(C1)(CC(C3)(C2)CO)C",,194.318,"001056900",,
"143","CCCCCCCC1CCC(=O)O1",7714,"CCCCCCCC1CCC(=O)O1",,184.279,"001076126",,
"308","O=C1OC(Cc2c1cccc2)c1ccccc1",263144,"C1C(OC(=O)C2=CC=CC=C21)C3=CC=CC=C3",,224.259,"001145957",,
"265","COC(=O)c1ccccc1F",67854,"COC(=O)C1=CC=CC=C1F",,154.14,"001428541",,
"250","COC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)OC",13099,"COC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC",,270.284,"001588888",,
"276","N#Cc1ccc(cc1)C(=O)OCc1ccccc1",582534,"C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)C#N",,237.258,"002474881",,
"258","COC(=O)c1cccc(c1)c1cccc(c1)C",1392448,"CC1=CC=CC(=C1)C2=CC(=CC=C2)C(=O)OC",,226.275,"002678385",,
"252","COC(=O)c1ccc(cc1)c1cccc(c1)C",1393157,"CC1=CC=CC(=C1)C2=CC=C(C=C2)C(=O)OC",,226.275,"002678682",,
"249","COC(=O)c1ccc(cc1)c1ccc(cc1)C",170805,"CC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC",,226.275,"002679543",,
"257","COC(=O)c1cccc(c1)c1ccc(cc1)C",1394187,"CC1=CC=C(C=C1)C2=CC(=CC=C2)C(=O)OC",,226.275,"002679583",,
"289","O[C@H]1CCC2[C@]1(C)CCC1C2CC[C@@H]2[C@]1(C)CCCC2",2754189,"CC12CCCCC1CCC3C2CCC4(C3CCC4O)C",,276.464,"002705556",,
"292","O=C(c1ccc(cc1)C)OC(=O)c1ccc(cc1)C",139413,"CC1=CC=C(C=C1)C(=O)OC(=O)C2=CC=C(C=C2)C",,254.285,"003273125",,
"269","COC(=O)CCCCCCCC(=O)O",75009,"COC(=O)CCCCCCCC(=O)O",,202.25,"003382269",,
"180","CCOC(=O)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F",2737218,"CCOC(=O)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F",,374.126,"003789060",,
"260","COC(=O)c1ccccc1c1ccc(cc1)C=O",4325150,"COC(=O)C1=CC=CC=C1C2=CC=C(C=C2)C=O",,240.258,"004113749",,
"176","CCCOC(=O)c1cccc(c1)B(O)O",23005363,"B(C1=CC(=CC=C1)C(=O)OCCC)(O)O",,208.02,"004113801",,
"175","CCCOC(=O)c1ccc(cc1)B(O)O",23005364,"B(C1=CC=C(C=C1)C(=O)OCCC)(O)O",,208.02,"004113802",,
"263","COC(=O)c1ccccc1c1ccccc1C=O",329746,"COC(=O)C1=CC=CC=C1C2=CC=CC=C2C=O",,240.258,"004113810",,
"254","COC(=O)c1ccc(cc1)c1ccccc1C=O",4112125,"COC(=O)C1=CC=C(C=C1)C2=CC=CC=C2C=O",,240.258,"004113834",,
"251","COC(=O)c1ccc(cc1)c1ccc(cc1)C=O",4321323,"COC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)C=O",,240.258,"004114082",,
"253","COC(=O)c1ccc(cc1)c1cccc(c1)C=O",4321386,"COC(=O)C1=CC=C(C=C1)C2=CC(=CC=C2)C=O",,240.258,"004114083",,
"261","COC(=O)c1ccccc1c1cccc(c1)C",1392926,"CC1=CC=CC(=C1)C2=CC=CC=C2C(=O)OC",,226.275,"004114763",,
"259","COC(=O)c1ccccc1c1ccc(cc1)C",1393873,"CC1=CC=C(C=C1)C2=CC=CC=C2C(=O)OC",,226.275,"004114791",,
"37","CC(C1(O)C2CC3CC1CC(C2)C3)C",22042514,"CC(C)C1(C2CC3CC(C2)CC1C3)O",,194.318,"004120362",,
"303","O=C(c1ccccc1)OCCc1ccc(cc1)CCOC(=O)c1ccccc1",2749143,"C1=CC=C(C=C1)C(=O)OCCC2=CC=C(C=C2)CCOC(=O)C3=CC=CC=C3",,374.436,"004900825",,
"375","OCC(C(C)C)CCC(C(C(C)C)O)(O)C",2750563,"CC(C)C(CCC(C)(C(C(C)C)O)O)CO",,232.364,"004901121",,
"35","CC(=O)OC(c1ccccc1)CCC(=O)c1ccccc1",2752851,"CC(=O)OC(CCC(=O)C1=CC=CC=C1)C2=CC=CC=C2",,282.339,"004901905",,
"288","O[C@H]1CC[C@]2([C@H](C1)CCC1C2CC[C@]2(C1CCC2)C)C",2754138,"CC12CCCC1C3CCC4CC(CCC4(C3CC2)C)O",,276.464,"004902137",,
"326","OC(C1CCCC=C1)C(C)C",2754970,"CC(C)C(C1CCCC=C1)O",,154.253,"004902614",,
"282","O[C@@H]1CCC=C([C@H]([C@H]1C)O)C",2755158,"CC1C(CCC=C(C1O)C)O",,156.225,"004902637",,
"283","O[C@@H]1CCC=C[C@H](C1(C)C)O",2755159,"CC1(C(CCC=CC1O)O)C",,156.225,"004902645",,
"31","CC([C@H]1CCCC[C@@H]1O)C",2747987,"CC(C)C1CCCCC1O",,142.242,"004903434",,
