AKOS smile,CID,CanonicalSMILES,density g/cm3,MW,AKOS,weight (g),stored
BrCC(CCCCCCCCC(=O)OC)F,11022861,COC(=O)CCCCCCCCC(CBr)F,,297.208,AKOS024263961,,
BrCc1ccccc1C(=O)OCc1ccccc1,13978678,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2CBr,,305.171,AKOS016005277,,
BrCCCCCCC(=O)OCC,122490,CCOC(=O)CCCCCCBr,,237.137,AKOS015836154,,
BrCCCCCCCC(=O)OCC,264813,CCOC(=O)CCCCCCCBr,,251.164,AKOS015836156,,
BrCCCCCCCCC(=O)OCC,560317,CCOC(=O)CCCCCCCCBr,,265.191,AKOS022184013,,
BrCCCCCCCCCCCCCCCC(=O)OC,2736822,COC(=O)CCCCCCCCCCCCCCCBr,,349.353,AKOS005254954,,
BrCCOC(=O)c1ccccc1,523090,C1=CC=C(C=C1)C(=O)OCCBr,,229.073,AKOS005203196,,
C[C@@H](C1CCCCC1)O,9964092,CC(C1CCCCC1)O,,128.215,AKOS016844268,,
C[C@@H](CCC=C(C)C)O,6971127,CC(CCC=C(C)C)O,,128.215,AKOS017343754,,
C[C@@H]1CC[C@@H]([C@H](C1)O)C(C)C,45056,CC1CCC(C(C1)O)C(C)C,0.904,156.269,AKOS007929949,,
C[C@@H]1CC[C@@H](CC1)O,11524,CC1CCC(CC1)O,0.92,114.188,AKOS017343697,,
C[C@@H]1CC[C@@H]2[C@]31CC[C@@]([C@@H](C3)C2(C)C)(C)O,7067838,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,,222.372,AKOS016010231,,
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,16666,CC1CCC(C(C1)O)C(C)C,0.904,156.269,AKOS016842647,,
C[C@H](CCC=C(C)C)O,6971128,CC(CCC=C(C)C)O,,128.215,AKOS017343717,,
C[C@H]1C[C@@H](O)CC(C1)(C)C,1550823,CC1CC(CC(C1)(C)C)O,,142.242,AKOS022172061,,
C/C(=C\C)/CO,6433417,CC=C(C)CO,,86.134,AKOS006274657,,
C/C(=C\C=C)/CO,5705553,CC(=CC=C)CO,,98.145,AKOS004907369,,
C/C=C\CCCO,5365589,CC=CCCCO,,100.161,AKOS006230030,,
C/C=C\CO,643789,CC=CCO,,72.107,AKOS016009829,,
C#CCOC(=O)c1ccccc1,336291,C#CCOC(=O)C1=CC=CC=C1,,160.172,AKOS016009036,,
C=CC(=C)C[C@@H](C=C(C)C)O,92301,CC(=CC(CC(=C)C=C)O)C,,152.237,AKOS006272671,,
C=CC(C/C=C/C(=C)C)(O)C,5366264,CC(=C)C=CCC(C)(C=C)O,,152.237,AKOS024264261,,
C=CC(C/C=C/C(O)(C)C)(O)C,5352451,CC(C)(C=CCC(C)(C=C)O)O,,170.252,AKOS022184702,,
C=CCC[C@@H](O)C,11848710,CC(CCC=C)O,,100.161,AKOS017343751,,
C=CCc1cccc(c1)C(=O)OCC,12070479,CCOC(=O)C1=CC(=CC=C1)CC=C,,190.242,AKOS006275880,,
C=CCc1ccccc1C(=O)OCC,9920599,CCOC(=O)C1=CC=CC=C1CC=C,,190.242,AKOS006275879,,
