Material,Name,Chemical.group,Phase,CAS,CASNO2,CASNO3,CID,csid
660002,ACETANISOLE CRYST.,KETONE,S,100-06-1,,,7476,13835344
104084,ACETYL METHYL ANTHRANILATE N,ESTER,S,,,,17623,16658
130001,ACETYL METHYL CARBINOL NAT.,KETONE,S,513-86-0,,,179,21105851
661269,AGRUMEX HC,ESTER,,88-41-5,20298-69-5,,62334,56126
600278,AGRUMEX LC,ESTER,,88-41-5,20298-69-5,,62334,56126
131081,AGRUNITRIL,NITRILE,,51566-62-2,,,3033030,2297857
103023,ALCOHOL C13 OXO,ALCOHOL,,68526-86-3,,,33865,31213
103798,ALDEHYDE C 9,ALDEHYDE,,124-19-6,,,31289,29029
130463,ALDEHYDE C11 ISO,ALDEHYDE,,1337-83-3,,,14135862,16215641
656012,ALDEHYDE C11 MOA,ALDEHYDE,,19009-56-4,,,29381,27316
130877,ALDEHYDE C11 UNDECYLENIC,ALDEHYDE,,112-45-8,,,8187,7895
130030,ALDEHYDE C12 LAURIC,ALDEHYDE,,112-54-9,,,8194,7902
656021,ALDEHYDE C12 MNA,ALDEHYDE,,110-41-8,,,61031,54990
173437,ALDEHYDE C14 SO CALLED NAT.,LACTONE,,104-67-6,,,7714,7428
606009,ALDEHYDE C14 SO-CALLED,LACTONE,,104-67-6,,,7714,7428
106182,ALDEHYDE C16 SO-CALLED,ESTER,,77-83-8,,,6501,6255
103866,ALDEHYDE C18 SO-CALLED,LACTONE,,104-61-0,,,7710,7424
103190,ALDRONÎ,KETONE,,68901-22-4,,,111416,99970
131381,ALLYL AMYL GLYCOLATE,ESTER,,67634-00-8,,,106729,96061
130190,ALLYL IONONE,KETONE,,79-78-7,,,5365976,4517909
690394,ALLYL PHENOXY ACETATE,ESTER,,7493-74-5,,,24117,22542
197007,AMAROCITÎ,ACETAL,,67674-46-8,,,106766,96095
105863,AMBER CORE,ALCOHOL,,139504-68-0,,,53836233,144152
600113,AMBERWOODÎ F,ACETAL,,58567-11-6,,,94111,84932
198047,AMBREIN,ALCOHOL,,8016-26-0,89997-74-0,,12305858,10275828
140022,AMBRETTOLIDE,LACTONE,,28645-51-4,,,11851224,10025696
105158,AMBRINOL,ALCOHOL,,41199-19-3,,,162452,142636
690993,AMBRINOL S,ALCOHOL,,31499-72-6,41199-19-3,,35821,32951
903865,AMBROSTAR,ACETAL,,1357064-95-9,,,,
103959,AMBROXIDE,ETHER,S,6790-58-5,,,10857465,9032756
104591,AMYL CINNAMIC ALDEHYDE ALPHA,ALDEHYDE,,122-40-7,,,31209,28950
