"","Material","Name..global...english","Chemical.group","Phase","CAS.no._1","CAS.no._2","CAS.no._3"
"1",660002,"ACETANISOLE CRYST.","KETONE","S","100-06-1",NA,NA
"2",104084,"ACETYL METHYL ANTHRANILATE N","ESTER","S","2719-08-6",NA,NA
"3",130001,"ACETYL METHYL CARBINOL NAT.","KETONE","S","513-86-0",NA,NA
"4",661269,"AGRUMEX HC","ESTER","","20298-69-5","88-41-5",NA
"5",600278,"AGRUMEX LC","ESTER","","20298-69-5","88-41-5",NA
"6",131081,"AGRUNITRIL","NITRILE","","51566-62-2",NA,NA
"7",103023,"ALCOHOL C13 OXO","ALCOHOL","","68526-86-3",NA,NA
"8",103798,"ALDEHYDE C 9","ALDEHYDE","","124-19-6",NA,NA
"9",130463,"ALDEHYDE C11 ISO","ALDEHYDE","","1337-83-3",NA,NA
"10",656012,"ALDEHYDE C11 MOA","ALDEHYDE","","19009-56-4",NA,NA
"11",130877,"ALDEHYDE C11 UNDECYLENIC","ALDEHYDE","","112-45-8",NA,NA
"12",130030,"ALDEHYDE C12 LAURIC","ALDEHYDE","","112-54-9",NA,NA
"13",656021,"ALDEHYDE C12 MNA","ALDEHYDE","","110-41-8",NA,NA
"14",173437,"ALDEHYDE C14 SO CALLED NAT.","LACTONE","","104-67-6",NA,NA
"15",606009,"ALDEHYDE C14 SO-CALLED","LACTONE","","104-67-6",NA,NA
"16",106182,"ALDEHYDE C16 SO-CALLED","ESTER","","77-83-8",NA,NA
"17",103866,"ALDEHYDE C18 SO-CALLED","LACTONE","","104-61-0",NA,NA
"18",103190,"ALDRON¨","KETONE","","68901-22-4",NA,NA
"19",131381,"ALLYL AMYL GLYCOLATE","ESTER","","67634-00-8",NA,NA
"20",130190,"ALLYL IONONE","KETONE","","79-78-7",NA,NA
"21",690394,"ALLYL PHENOXY ACETATE","ESTER","","7493-74-5",NA,NA
"22",197007,"AMAROCIT¨","ACETAL","","67674-46-8",NA,NA
"23",105863,"AMBER CORE","ALCOHOL","","139504-68-0",NA,NA
"24",600113,"AMBERWOOD¨ F","ACETAL","","58567-11-6",NA,NA
"25",198047,"AMBREIN","ALCOHOL","","8016-26-0","89997-74-0",NA
"26",140022,"AMBRETTOLIDE","LACTONE","","28645-51-4",NA,NA
"27",105158,"AMBRINOL","ALCOHOL","","41199-19-3",NA,NA
"28",690993,"AMBRINOL S","ALCOHOL","","31499-72-6","41199-19-3",NA
"29",903865,"AMBROSTAR","ACETAL","","1357064-95-9",NA,NA
"30",103959,"AMBROXIDE","ETHER","S","6790-58-5",NA,NA
"31",104591,"AMYL CINNAMIC ALDEHYDE ALPHA","ALDEHYDE","","122-40-7",NA,NA
"32",131277,"ANDRANE","ETHER","","13567-39-0",NA,NA
"33",611049,"ANISYL ACETATE","ESTER","","104-21-2",NA,NA
"34",654001,"ANISYL ALCOHOL","ALCOHOL","S","105-13-5",NA,NA
"35",131139,"ANTHER","ETHER","","56011-02-0",NA,NA
"36",103627,"APHERMATE","ESTER","","25225-08-5",NA,NA
"37",600038,"APRIFLOREN¨","LACTONE","","67663-01-8",NA,NA
"38",600098,"AURELIONE¨","KETONE","","2550-59-6","3100-36-5","88642-03-9"
"39",103449,"AZARBRE","KETONE","","68845-36-3",NA,NA
"40",600127,"BELANIS¨","KETONE","","1447712-18-6",NA,NA
"41",164902,"BENZO NITRILE","NITRILE","","100-47-0",NA,NA
"42",162078,"BENZOIC ACID","ACID","","65-85-0",NA,NA
"43",660032,"BENZOPHENONE CRYST.","KETONE","S","119-61-9",NA,NA
"44",600624,"BENZYL ACETONE","KETONE","","2550-26-7",NA,NA
"45",600040,"BENZYL BENZOATE M","ESTER","","120-51-4",NA,NA
"46",103937,"BENZYL BUTYRATE","ESTER","","103-37-7",NA,NA
"47",613057,"BENZYL CINNAMATE","ESTER","S","103-41-3",NA,NA
"48",613065,"BENZYL FORMATE","ESTER","","104-57-4",NA,NA
"49",104495,"BENZYL ISOBUTYRATE","ESTER","","103-28-6",NA,NA
"50",162067,"BENZYL ISOEUGENOL","ETHER","S","120-11-6",NA,NA
"51",104576,"BENZYL ISOVALERATE","ESTER","","103-38-8",NA,NA
