"","Material","Name..global...english","Chemical.group","Phase","CAS.no._1","CAS.no._2","CAS.no._3"
"1",105656,"AMYL SALICYLATE","ESTER","",NA,NA,NA
"2",699713,"ARCOSOLVE DPMA GLYCO ETHER","","",NA,NA,NA
"3",195564,"AURANTIOL","SCHIFF-BASE","",NA,NA,NA
"4",660554,"CARENE DELTA-3 NAT.","HYDROCARBON","",NA,NA,NA
"5",659577,"CINEOL 1,4","ETHER","",NA,NA,NA
"6",198031,"CORTEX ALDEHYDE 50","ALDEHYDE","",NA,NA,NA
"7",131228,"DIHYDRO TERPINEOL","ALCOHOL","",NA,NA,NA
"8",130265,"DIPENTENE","HYDROCARBON","",NA,NA,NA
"9",103383,"ETHYL SAFRANATE","ESTER","",NA,NA,NA
"10",197016,"FLORALOZONE","ALDEHYDE","",NA,NA,NA
"11",100360,"FLORAZON","ALDEHYDE","",NA,NA,NA
"12",105562,"GALBANOLENE SUPER","HYDROCARBON","",NA,NA,NA
"13",170044,"GERANIOL 60","ALCOHOL","",NA,NA,NA
"14",903290,"GERANIOL 60 B","ALCOHOL","",NA,NA,NA
"15",103161,"ISOJASMONE","KETONE","",NA,NA,NA
"16",620107,"ISOMENTHONE","KETONE","S",NA,NA,NA
"17",130969,"OCIMENE","HYDROCARBON","",NA,NA,NA
"18",103944,"TERPINOLENE DAK","HYDROCARBON","",NA,NA,NA
"19",103849,"TETRAHYDRO MUGUOL","ALCOHOL","",NA,NA,NA
"20",130706,"TOLYL ACETALDEHYDE PARA 50% DPG","ALDEHYDE","",NA,NA,NA
