Material,Name,Chemical.group,Phase,CAS,CASNO2,CASNO3,csid
660002,ACETANISOLE CRYST.,KETONE,S,100-06-1,,,13835344
104084,ACETYL METHYL ANTHRANILATE N,ESTER,S,2719-08-6,,,16658
130001,ACETYL METHYL CARBINOL NAT.,KETONE,S,513-86-0,,,21105851
661269,AGRUMEX HC,ESTER,,20298-69-5,88-41-5,,19972625
600278,AGRUMEX LC,ESTER,,20298-69-5,88-41-5,,19972625
131081,AGRUNITRIL,NITRILE,,51566-62-2,,,2297857
103023,ALCOHOL C13 OXO,ALCOHOL,,68526-86-3,,,31213
103798,ALDEHYDE C 9,ALDEHYDE,,124-19-6,,,29029
130463,ALDEHYDE C11 ISO,ALDEHYDE,,1337-83-3,,,16215641
656012,ALDEHYDE C11 MOA,ALDEHYDE,,19009-56-4,,,27316
130877,ALDEHYDE C11 UNDECYLENIC,ALDEHYDE,,112-45-8,,,7895
130030,ALDEHYDE C12 LAURIC,ALDEHYDE,,112-54-9,,,7902
656021,ALDEHYDE C12 MNA,ALDEHYDE,,110-41-8,,,54990
173437,ALDEHYDE C14 SO CALLED NAT.,LACTONE,,104-67-6,,,13352554
606009,ALDEHYDE C14 SO-CALLED,LACTONE,,104-67-6,,,13352554
106182,ALDEHYDE C16 SO-CALLED,ESTER,,77-83-8,,,5361571
103866,ALDEHYDE C18 SO-CALLED,LACTONE,,104-61-0,,,9270017
103190,ALDRON¬,KETONE,,68901-22-4,,,57523903
131381,ALLYL AMYL GLYCOLATE,ESTER,,67634-00-8,,,57425660
130190,ALLYL IONONE,KETONE,,79-78-7,,,4517909
690394,ALLYL PHENOXY ACETATE,ESTER,,7493-74-5,,,22542
197007,AMAROCIT¬,ACETAL,,67674-46-8,,,57575555
105863,AMBER CORE,ALCOHOL,,139504-68-0,,,34991162
600113,AMBERWOOD¬ F,ACETAL,,58567-11-6,,,84932
198047,AMBREIN,ALCOHOL,,8016-26-0,89997-74-0,,10275828.00
140022,AMBRETTOLIDE,LACTONE,,28645-51-4,,,10025696
105158,AMBRINOL,ALCOHOL,,41199-19-3,,,142636
